objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.00757,-0.125258,25.394,22.534,21.892,21.724,21.516,1.070525
5.82094E+17,229.008184,-0.124503,23.699,22.58,21.902,21.783,22.089,1.016663
5.82094E+17,228.993205,-0.120116,24.875,23.378,21.637,19.632,18.403,1.376052
5.82094E+17,228.996666,-0.116696,22.106,21.077,20.72,20.538,20.556,1.094065
5.82094E+17,228.993749,-0.118787,23.53,22.495,21.9,21.944,21.854,1.30769
5.82094E+17,228.995858,-0.119115,25.478,22.663,22.369,21.919,21.426,1.209228
5.82094E+17,228.996786,-0.093199,21.59,20.418,20.112,19.947,19.894,1.316593
5.82094E+17,228.99692,-0.097181,22.127,20.278,19.373,19.064,18.884,1.159717
5.82094E+17,228.99915,-0.096261,21.702,20.603,20.208,20.064,19.93,1.08806
5.82094E+17,228.998052,-0.096143,21.948,21.234,21.155,20.982,20.978,1.142958
5.82094E+17,228.997618,-0.121507,22.029,21.312,21.007,20.802,20.691,1.211297
5.82094E+17,228.997977,-0.119724,23.943,22.653,22.363,22.215,21.97,1.126528
5.82094E+17,228.999594,-0.091221,21.425,20.507,20.374,20.302,20.214,1.290607
5.82094E+17,228.999952,-0.093604,21.657,20.641,20.392,20.33,20.325,1.166708
5.82094E+17,228.998532,-0.091172,21.708,20.928,20.605,20.477,20.415,1.332953
5.82094E+17,228.999521,-0.092317,23.471,23.231,22.857,22.294,22.408,1.242135
5.82094E+17,229.004917,-0.086684,21.476,20.456,19.981,19.764,19.726,1.374868
5.82094E+17,229.003447,-0.088652,21.562,20.582,20.118,19.917,19.847,1.300206
5.82094E+17,229.003647,-0.089805,22.202,21.263,20.837,20.746,20.743,1.232789
5.82094E+17,229.006624,-0.087362,22.619,21.348,20.967,20.898,20.643,1.304041
5.82094E+17,229.016298,-0.125237,21.179,20.168,19.804,19.653,19.685,1.043538
5.82094E+17,229.018097,-0.125242,24.382,22.346,21.987,21.818,22.704,1.070758
5.82094E+17,229.01746,-0.124564,23.588,22.604,22.215,21.908,21.485,1.020855
5.82094E+17,229.02107,-0.128542,21.476,20.416,19.917,19.706,19.589,1.317547
5.82094E+17,229.023102,-0.127638,21.575,20.698,20.322,20.196,19.948,1.319979
5.82094E+17,229.020028,-0.129689,21.841,20.803,20.433,20.314,20.329,1.360328
5.82094E+17,229.026255,-0.1266,22.24,21.188,20.878,20.589,20.485,1.367694
5.82094E+17,229.025162,-0.126796,23.436,21.877,21.429,21.208,21.679,1.339812
5.82094E+17,229.016546,-0.12853,22.657,21.921,21.628,21.378,21.329,1.240323
5.82094E+17,229.024413,-0.126941,24.23,22.478,22.285,22.256,21.6,1.322862
5.82094E+17,229.022428,-0.128096,24.304,22.797,22.357,22.077,22.202,1.32622
